,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
244,University of Virginia (UVA),Psychology,1.05,2020-2021,3rd,,3,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
245,University of Virginia (UVA),Psychology,1.05,2020-2021,1st,,1,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
246,University of Virginia (UVA),Psychology,0.88,2019-2020,5th,,5,2019,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of Virginia UVA_HistPolSoc
248,University of Virginia (UVA),Psychology,1.05,2020-2021,5th,,5,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
255,Northwestern University (NU),Mechanical Engineering,1.34,2020-2021,1st,We get paid about $2700 a month and the fees are only $125 per quarter. And health insurance worth over $4000,1,2020,32425,32800,0,0,32800,Engineering,Engineering,low,375,375,Northwestern University NU_Engineering
260,Massachusetts Institute of Technology (MIT),Physics,1.47,2020-2021,5th,Stipend change not going into effect until September ,5,2020,41133,41501,0,0,41501,PhysicsAndAstronomy,PhysicsAndAstronomy,low,368,368,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
268,University of Southern California (USC),Linguistics,1.18,2020-2021,1st,,1,2020,30500,0,30500,0,30500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Southern California USC_LinguisticsAndCommunication
273,University of Notre Dame (ND),History ,1.12,2020-2021,4th,,4,2020,23000,23000,0,0,23000,HistPolSoc,HistPolSoc,low,0,0,University of Notre Dame ND_HistPolSoc
281,University of Michigan - Ann Arbor (UM),Biomedical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
283,University of Michigan - Ann Arbor (UM),Mechanical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
287,University of Wisconsin - Madison (UW),Chemistry,1.16,2020-2021,1st,,1,2020,26450,28050,0,0,28050,Chemistry,Chemistry,low,1600,1600,University of Wisconsin - Madison UW_Chemistry
293,University of California - Los Angeles (UCLA),Sociology,1.08,2020-2021,1st,"$4,000 departmental funding guaranteed for first year summer if not granted university's $6,000 stipend ",1,2020,28000,0,24000,4000,28000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
302,University of Florida (UF),Anthropology,1.36,2020-2021,1st,"Doesn't include $10 per month for health insurance, tuition fees each semester (~$500)",1,2020,31000,31000,0,0,31000,Biology,Biology,low,0,0,University of Florida UF_Biology
337,Pennsylvania State University (Penn State),Geography,1.84,2020-2021,1st,,1,2020,41270,0,35000,6800,41800,Geography,Geography,high,530,530,Pennsylvania State University Penn State_Geography
344,Stony Brook University - SUNY,Computer Science,0.72,2020-2021,1st,,1,2020,20000,20000,0,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,Stony Brook University - SUNY_MathematicsAndComputer Science
355,Stony Brook University - SUNY,Computer Science,1.01,2020-2021,1st,,1,2020,28200,0,20000,10000,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1800,1800,Stony Brook University - SUNY_MathematicsAndComputer Science
366,University of California - Irvine (UCI),Sociology,0.92,2020-2021,1st,NEGOTIATE. Amount includes additional first year summer funding from negotiations (and first quarter fellowship). ,1,2020,26997,0,21992,5500,27492,HistPolSoc,HistPolSoc,high,495,495,University of California - Irvine UCI_HistPolSoc
367,University of California - Irvine (UCI),Sociology,0.79,2020-2021,1st,"100% health insurance coverage, most fees covered (~$500 not covered), one-time $1,500 summer funding, 5 years guaranteed campus housing",1,2020,22997,0,21992,1500,23492,HistPolSoc,HistPolSoc,high,495,495,University of California - Irvine UCI_HistPolSoc
368,University of Texas - Austin (UT),sociology,0.88,2020-2021,1st,,1,2020,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc
370,University of California - Los Angeles (UCLA),Sociology ,1.12,2020-2021,1st,"Cota-Robles Fellowship from graduate division raises stipend to $25,000 instead of $24,000 for 9 months. $4,000 for summer is for first year only. ",1,2020,29000,0,25000,4000,29000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
371,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,1.35,2020-2021,1st,Performing a lab rotation for the 1st year.,1,2020,30000,34000,0,0,34000,Engineering,Engineering,low,4000,4000,University of North Carolina - Chapel Hill UNC_Engineering
386,Princeton University,Politics,1.4,2020-2021,1st,,1,2020,35500,35500,0,0,35500,HistPolSoc,HistPolSoc,low,0,0,Princeton University_HistPolSoc
388,University of South Carolina (USC),Chemistry,1.15,2020-2021,1st,,1,2020,26000,26000,0,0,26000,Chemistry,Chemistry,low,0,0,University of South Carolina USC_Chemistry
390,Northwestern University (NU),Chemistry ,1.38,2020-2021,1st,"I have an additional fellowship that is $10,000/year, so actually making $43,504 before taxes",1,2020,33504,33504,0,0,33504,Chemistry,Chemistry,low,0,0,Northwestern University NU_Chemistry
391,Stony Brook University - SUNY,Computer Science,0.63,2020-2021,1st,,1,2020,17500,0,20000,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,2500,2500,Stony Brook University - SUNY_MathematicsAndComputer Science
393,Northwestern University (NU),Materials Science and Engineering,1.38,2020-2021,1st,NSF Fellow. Additional Health insurance.,1,2020,33504,33504,0,0,33504,Engineering,Engineering,low,0,0,Northwestern University NU_Engineering
394,University of California - Berkeley,Materials Science and Engineering,1.28,2020-2021,1st,"NSF Fellow, GSR (Graduate Student Researcher) position. Additional Health and dental insurance. Summer months have higher distribution. ",1,2020,35485,35485,0,0,35485,Engineering,Engineering,low,0,0,University of California - Berkeley_Engineering
395,Stanford University (SU),Materials Science and Engineering,1.5,2020-2021,1st,Base Rate. Not including additional 50% insurance subsidy. ,1,2020,43000,43000,0,0,43000,Engineering,Engineering,low,0,0,Stanford University SU_Engineering
396,Stanford University (SU),Materials Science and Engineering,1.64,2020-2021,1st,"NSF Fellow, allotted higher stipend compared to base rate. Not including additional 50% insurance subsidy. ",1,2020,47200,47200,0,0,47200,Engineering,Engineering,low,0,0,Stanford University SU_Engineering
397,Princeton University,political science,1.4,2020-2021,1st,,1,2020,35500,35500,0,0,35500,HistPolSoc,HistPolSoc,low,0,0,Princeton University_HistPolSoc
401,University of Virginia (UVA),Materials Science and Engineering,1.09,2020-2021,2nd,,2,2020,25000,25000,0,0,25000,Engineering,Engineering,low,0,0,University of Virginia UVA_Engineering
409,University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering,1.2,2020-2021,1st,11 months of support. Tuition waiver and partial fee waiver.,1,2020,26400,26400,0,0,26400,Engineering,Engineering,low,0,0,University of Illinois - Urbana- Champaign UIUC_Engineering
413,Rice University,Bioengineering,1.42,2020-2021,1st,,1,2020,31075,32500,0,0,32500,Engineering,Engineering,low,1425,1425,Rice University_Engineering
429,University of Chicago (UC),Economics,1.73,2020-2021,1st,Department of Economics,1,2020,42000,42000,0,0,42000,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Chicago UC_BusinessAndManagement
430,University of Chicago (UC),Economics,1.79,2020-2021,1st,Booth,1,2020,43500,43500,0,0,43500,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Chicago UC_BusinessAndManagement
433,Virginia Tech,Electrical Engineering,1.09,2020-2021,1st,Offer letter / GRA + tuition waiver,1,2020,23000,23000,0,0,23000,Engineering,Engineering,low,0,0,Virginia Tech_Engineering
438,Northwestern University (NU),History,1.34,2020-2021,1st,"First year is fellowship, assistantships in years to follow",1,2020,32500,33000,0,0,33000,HistPolSoc,HistPolSoc,low,500,500,Northwestern University NU_HistPolSoc
445,University of Wisconsin - Madison (UW),statistics,0.85,2020-2021,1st,,1,2020,19500,0,20200,0,20200,MathematicsAndComputer Science,MathematicsAndComputer Science,high,700,700,University of Wisconsin - Madison UW_MathematicsAndComputer Science
453,University of California - Los Angeles (UCLA),sociology,0.93,2020-2021,1st,,1,2020,24000,0,24000,0,24000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
471,University of California - Berkeley,Political Science,1.3,2019-2020,1st,,1,2019,36000,36000,0,0,36000,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc
473,Virginia Tech,Electrical and Computer Engineering,1.1,2020-2021,1st,,1,2020,23070,0,25200,0,25200,Engineering,Engineering,high,2130,2130,Virginia Tech_Engineering
478,University of Michigan - Ann Arbor (UM),Statistics,1.27,2020-2021,1st,,1,2020,29300,0,24300,5000,29300,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Michigan - Ann Arbor UM_MathematicsAndComputer Science
479,University of California - Los Angeles (UCLA),Chemical Engineering,1.24,2020-2021,1st,,1,2020,32000,32000,0,0,32000,Engineering,Engineering,low,0,0,University of California - Los Angeles UCLA_Engineering
481,University of Illinois - Urbana- Champaign (UIUC),Math,0.95,2020-2021,1st,Also receive SLOAN fellowship and Graduate College Fellowship,1,2020,20950,0,21600,0,21600,MathematicsAndComputer Science,MathematicsAndComputer Science,high,650,650,University of Illinois - Urbana- Champaign UIUC_MathematicsAndComputer Science
484,University of Texas - Austin (UT),Biomedical Engineering,1.4,2020-2021,5th,$5000 Engineering faculty fellowship ,5,2020,32000,32000,0,0,32000,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering
489,Stanford University (SU),Biosciences,1.6,2020-2021,1st,,1,2020,46000,46000,0,0,46000,Biology,Biology,low,0,0,Stanford University SU_Biology
492,University of California - Davis (UCD),Sociology,1.0,2020-2021,1st,,1,2020,23959,0,23109,2000,25109,HistPolSoc,HistPolSoc,high,1150,1150,University of California - Davis UCD_HistPolSoc
518,University of Illinois - Urbana- Champaign (UIUC),Environmental Engineering,1.57,2020-2021,1st,,1,2020,34500,35000,0,0,35000,Engineering,Engineering,low,500,500,University of Illinois - Urbana- Champaign UIUC_Engineering
519,Drexel University (DU),Electrical Engineering,0.74,2020-2021,4th,,4,2020,17820,0,17820,0,17820,Engineering,Engineering,high,0,0,Drexel University DU_Engineering
522,University of California - Berkeley,sociology,1.01,2020-2021,1st,,1,2020,28000,0,26000,2000,28000,HistPolSoc,HistPolSoc,high,0,0,University of California - Berkeley_HistPolSoc
525,University of Texas - Dallas (UTD),Mechanical Engineering,1.04,2020-2021,1st,You have to pay health insurance (1158 per semester) or you need to take premium tax credit for a CAA approved health insurance.  Costly city. An international student may lose their possibility to apply for immigration due to taking the tax credit.,1,2020,22400,22400,0,0,22400,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
567,Virginia Tech,Civil and Environmental Engineering,1.23,2020-2021,1st,,1,2020,26000,26000,0,0,26000,Engineering,Engineering,low,0,0,Virginia Tech_Engineering
569,Northwestern University (NU),Bioengineering,1.38,2020-2021,1st,,1,2020,33500,34000,0,0,34000,Engineering,Engineering,low,500,500,Northwestern University NU_Engineering
590,University of Southern California (USC),Computer Science,1.31,2019-2020,5th,,5,2019,34000,34000,0,0,34000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science
591,Princeton University,Sociology,1.4,2020-2021,1st,"Additional $3,000 in August for years 1 and 2",1,2020,35500,35500,0,0,35500,HistPolSoc,HistPolSoc,low,0,0,Princeton University_HistPolSoc
592,University of Texas - Austin (UT),Biomedical Engineering,1.01,2020-2021,5th,,5,2020,23000,23000,0,0,23000,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering
596,University of Michigan - Ann Arbor (UM),Biostatistics,1.06,2020-2021,1st,Full insurance,1,2020,24498,0,24498,0,24498,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Michigan - Ann Arbor UM_MathematicsAndComputer Science
632,University of California - San Francisco (UCSF),Epidemiology,1.38,2020-2021,1st,Funding tied to 15 hours/week work requirement,1,2020,41200,41200,0,0,41200,Medical,Medical,low,0,0,University of California - San Francisco UCSF_Medical
634,University of Texas - Austin (UT),Mechanical Engineering,1.07,2020-2021,1st,,1,2020,24500,25000,0,0,25000,Engineering,Engineering,low,500,500,University of Texas - Austin UT_Engineering
635,University of Texas - Austin (UT),Psychology,1.31,2020-2021,1st,,1,2020,30000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc
639,University of Southern California (USC),Sociology,1.18,2020-2021,1st,,1,2020,30500,30500,0,0,30500,HistPolSoc,HistPolSoc,low,0,0,University of Southern California USC_HistPolSoc
640,Vanderbilt University,Sociology,1.13,2020-2021,1st,,1,2020,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,Vanderbilt University_HistPolSoc
641,Pennsylvania State University (Penn State),Sociology,1.45,2020-2021,1st,,1,2020,32500,0,30000,2500,32500,HistPolSoc,HistPolSoc,high,0,0,Pennsylvania State University Penn State_HistPolSoc
642,CUNY Graduate School and University Center,Sociology,0.89,2020-2021,1st,,1,2020,26612,26612,0,0,26612,HistPolSoc,HistPolSoc,low,0,0,CUNY Graduate School and University Center_HistPolSoc
648,University of Kentucky (UK),statistics,1.14,2018-2019,1st,,1,2018,23200,0,20000,3500,23500,MathematicsAndComputer Science,MathematicsAndComputer Science,high,300,300,University of Kentucky UK_MathematicsAndComputer Science
652,University of California - San Francisco (UCSF),Biomedical Sciences,1.34,2020-2021,5th,,5,2020,40000,40000,0,0,40000,Medical,Medical,low,0,0,University of California - San Francisco UCSF_Medical
653,University of North Carolina - Chapel Hill (UNC),History,0.71,2020-2021,1st,"First three summers $3,000 each, fourth and fifth summers $2,000 each. Tuition, student fees, and student health insurance paid for five years (10 long semesters.) Research stipend of $2,000 upon reaching candidacy.",1,2020,15700,0,15700,0,15700,HistPolSoc,HistPolSoc,high,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc
656,University of Washington (UW),Political Science,0.87,2020-2021,1st,This is my first offer for a program I've been admitted to and is the standard amount. I intend to negotiate as I have a competing offer. ,1,2020,20184,0,21492,0,21492,HistPolSoc,HistPolSoc,high,1308,1308,University of Washington UW_HistPolSoc
663,California Institute of Technology (Caltech),Electrical Engineering,1.45,2020-2021,1st,,1,2020,37500,37500,0,0,37500,Engineering,Engineering,low,0,0,California Institute of Technology Caltech_Engineering
674,Rice University,Chemical and Biomolecular Engineering,1.38,2020-2021,1st,,1,2020,30200,31000,0,0,31000,Engineering,Engineering,low,800,800,Rice University_Engineering
692,Emory University,Clinical Psychology,1.33,2020-2021,1st,,1,2020,31000,31000,0,0,31000,Medical,Medical,low,0,0,Emory University_Medical
694,Stony Brook University - SUNY,Computer Science,1.07,2020-2021,1st,,1,2020,30000,0,20000,10000,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,Stony Brook University - SUNY_MathematicsAndComputer Science
701,Emory University,Epidemiology,1.33,2020-2021,1st,,1,2020,31087,31775,0,0,31775,Medical,Medical,low,688,688,Emory University_Medical
709,Clemson University (CU),Electrical and Computer Engineering,0.96,2020-2021,1st,,1,2020,20000,0,20000,0,20000,Engineering,Engineering,high,0,0,Clemson University CU_Engineering
714,University of Texas - Austin (UT),Microbiology,1.36,2019-2020,2nd,,2,2019,31000,31000,0,0,31000,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology
717,University of Chicago (UC),economics,1.73,2020-2021,1st,,1,2020,42000,42000,0,0,42000,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Chicago UC_BusinessAndManagement
718,Yale University (YU),economics,1.7,2020-2021,1st,,1,2020,42000,42000,0,0,42000,BusinessAndManagement,BusinessAndManagement,low,0,0,Yale University YU_BusinessAndManagement
722,University of Illinois - Urbana- Champaign (UIUC),Statistics,0.94,2020-2021,1st,,1,2020,20589,0,20589,0,20589,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Illinois - Urbana- Champaign UIUC_MathematicsAndComputer Science
726,University of Texas - Austin (UT),Chemical Engineering,1.27,2020-2021,1st,,1,2020,29000,30000,0,0,30000,Engineering,Engineering,low,1000,1000,University of Texas - Austin UT_Engineering
743,Emory University,History,1.36,2020-2021,1st,,1,2020,31775,31775,0,0,31775,HistPolSoc,HistPolSoc,low,0,0,Emory University_HistPolSoc
770,University of Illinois - Urbana- Champaign (UIUC),Materials Science and Engineering,1.38,2020-2021,1st,,1,2020,30360,30360,0,0,30360,Engineering,Engineering,low,0,0,University of Illinois - Urbana- Champaign UIUC_Engineering
784,University of Southern California (USC),Communication,1.31,2020-2021,1st,,1,2020,34000,34000,0,0,34000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Southern California USC_LinguisticsAndCommunication
787,University of North Carolina - Chapel Hill (UNC),Sociology,0.9,2019-2020,1st,"This is the standard guaranteed departmental funding package for 9 months; summer is not guaranteed by default, which is quite standard. Entails TAing for 10 hours/week both terms. Insurance, full tuition, and all fees included (no extra deductions).",1,2019,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc
795,New York University (NYU),History,1.09,2020-2021,1st,"Additional $1000 Deans Supplementary Fellowship Grant given to me in my first stipend check. Summer funding guaranteed after years 2, 3, and 4, but not in other years. Additional pay for teaching, up to $13,500 per year.",1,2020,32500,0,29500,3000,32500,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc
803,University of California - San Diego (UCSD),Math,0.99,2019-2020,1st,,1,2019,26157,0,26157,0,26157,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science
804,Yale University (YU),Genetics,1.66,2020-2021,3rd,Includes yearly stipend bonus for external fellowship ,3,2020,41125,41125,0,0,41125,Biology,Biology,low,0,0,Yale University YU_Biology
815,University of Southern California (USC),Math,1.18,2020-2021,1st,,1,2020,30500,30500,0,0,30500,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science
816,Stanford University (SU),Bioengineering,1.51,2020-2021,1st,,1,2020,43404,46200,0,0,46200,Engineering,Engineering,low,2796,2796,Stanford University SU_Engineering
826,Yale University (YU),Economics,1.5,2016-2017,4th,Free healthcare,4,2016,37000,0,37000,0,37000,BusinessAndManagement,BusinessAndManagement,high,0,0,Yale University YU_BusinessAndManagement
839,University of Chicago (UC),English,1.4,2019-2020,1st,,1,2019,34000,34000,0,0,34000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Chicago UC_LinguisticsAndCommunication
842,Rice University,Bioengineering,1.44,2019-2020,1st,,1,2019,31500,31500,0,0,31500,Engineering,Engineering,low,0,0,Rice University_Engineering
858,Carnegie Mellon University (CMU),Biomedical Engineering,1.5,2020-2021,2nd,,2,2020,31000,32000,0,0,32000,Engineering,Engineering,low,1000,1000,Carnegie Mellon University CMU_Engineering
881,University of Illinois - Urbana- Champaign (UIUC),history,0.91,2020-2021,1st,additional $2000 for first year,1,2020,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of Illinois - Urbana- Champaign UIUC_HistPolSoc
886,University of Texas - Dallas (UTD),Bioengineering,1.16,2020-2021,5th,Health Insurance not included,5,2020,25000,25200,0,0,25200,Engineering,Engineering,low,200,200,University of Texas - Dallas UTD_Engineering
887,University of Texas - Dallas (UTD),Bioengineering,0.09,2020-2021,5th,Health Insurance not included,5,2020,1900,2100,0,0,2100,Engineering,Engineering,low,200,200,University of Texas - Dallas UTD_Engineering
889,Emory University,political science,1.31,2020-2021,1st,,1,2020,30623,31775,0,0,31775,HistPolSoc,HistPolSoc,low,1152,1152,Emory University_HistPolSoc
894,University of Illinois - Urbana- Champaign (UIUC),Chemistry,1.14,2016-2017,6th and up,,6,2016,25000,0,25000,0,25000,Chemistry,Chemistry,high,0,0,University of Illinois - Urbana- Champaign UIUC_Chemistry
895,University of Colorado - Boulder (UCB),Aerospace Engineering,1.5,2019-2020,1st,"No healthcare for dependents.
All depends make roughly the same, within $500 per year of each other, assuming you work summers.",1,2019,38200,40000,0,0,40000,Engineering,Engineering,low,1800,1800,University of Colorado - Boulder UCB_Engineering
898,Pennsylvania State University (Penn State),Sociology,1.45,2020-2021,1st,,1,2020,32500,32500,0,0,32500,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc
901,University of South Carolina (USC),Chemistry and Biochemistry,0.98,2020-2021,3rd,,3,2020,22000,24000,0,0,24000,Chemistry,Chemistry,low,2000,2000,University of South Carolina USC_Chemistry
