,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
36,University of Alabama - Birmingham (UAB),GBS,1.44,2020-2021,5th,,5,2020,31000,31000,0,0,31000,GBS,Other,low,0,0,University of Alabama - Birmingham UAB_Other
40,University of California - San Diego (UCSD),Language and Communicative Disorders,0.87,2019-2020,1st,,1,2019,23000,23000,0,0,23000,Language and Communicative Disorders,Other,low,0,0,University of California - San Diego UCSD_Other
41,University of Wisconsin - Madison (UW),Microbiology Doctoral Training Program,1.24,2020-2021,4th,,4,2020,28400,29000,0,0,29000,Microbiology Doctoral Training Program,Other,low,600,600,University of Wisconsin - Madison UW_Other
43,University of Iowa (UI),Department of Anthropology ,0.9,2020-2021,3rd,"Required fees tend to vary. For anthropology courses its cheaper, but taking biology courses will be a higher fee. ",3,2020,20064,0,20064,0,20064,Department of Anthropology ,Other,high,0,0,University of Iowa UI_Other
45,Columbia University (CU),Counseling Psychology,0.83,2020-2021,1st,,1,2020,24766,25000,0,0,25000,Counseling Psychology,Other,low,234,234,Columbia University CU_Other
49,University of California - Berkeley,Chemistry,1.3,2017-2018,1st,"TA stipend paid on top of extental fellowship, amounts to ~10K bonus",1,2017,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0,University of California - Berkeley_Chemistry
52,Case Western Reserve University,BSTP,1.5,2019-2020,1st,Can waive healthcare fee if already covered. Tuition covered thru BSTP PhD program. ,1,2019,30000,30000,0,0,30000,BSTP,Other,low,0,0,Case Western Reserve University_Other
54,University of Pennsylvania,Biochemistry and Molecular Biology,1.41,2020-2021,2nd,,2,2020,34000,34000,0,0,34000,Biochemistry and Molecular Biology,Other,low,0,0,University of Pennsylvania_Other
56,Harvard University (HU),Systems Biology,1.41,2020-2021,2nd,"Healthcare, gym membership, tuition, $1000 move-in stipend, all included.",2,2020,40500,40500,0,0,40500,Systems Biology,Other,low,0,0,Harvard University HU_Other
57,University of Maryland - College Park (UMD),"Applied Mathematics & Statistics, Scientific Computation (AMSC)",0.64,2020-2021,2nd,"The amount for required fees is yearly, but it is billed as $815 per semester. The first two years of the program, nearly everyone is awarded a $5,000 yearly fellowship, which is not included in the gross pay above. It expires after the first two years.",2,2020,19277,0,20907,0,20907,"Applied Mathematics & Statistics, Scientific Computation (AMSC)",Other,high,1630,1630,University of Maryland - College Park UMD_Other
58,University of Georgia (UGA),Pharmaceutical and Biomedical Sciences,1.21,2019-2020,1st,,1,2019,25600,29150,0,0,29150,Pharmaceutical and Biomedical Sciences,Other,low,3550,3550,University of Georgia UGA_Other
59,Cornell University (CU),Biophysics,1.52,2020-2021,2nd,Very comfortable stipend compared to the cost of living in Ithaca ,2,2020,36900,37000,0,0,37000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,100,100,Cornell University CU_PhysicsAndAstronomy
61,University of Hawaii - Manoa (UH),Earth Sciences,1.02,2018-2019,4th,,4,2018,31200,32000,0,0,32000,Earth Sciences,Other,low,800,800,University of Hawaii - Manoa UH_Other
65,Indiana University,Anthropology ,0.73,2020-2021,4th,,4,2020,15745,0,15745,0,15745,Anthropology ,Other,high,0,0,Indiana University_Other
76,University of Kansas (KU),CS/PhD,0.93,2020-2021,2nd,,2,2020,19000,20000,0,0,20000,CS/PhD,Other,low,1000,1000,University of Kansas KU_Other
81,Duke University (DU),Computational Biology and Biology,1.44,2020-2021,3rd,,3,2020,32000,32000,0,0,32000,Computational Biology and Biology,Other,low,0,0,Duke University DU_Other
85,Harvard University (HU),Engineering ,1.26,2020-2021,1st,,1,2020,36000,36000,0,0,36000,Engineering ,Other,low,0,0,Harvard University HU_Other
90,Georgia Institute of Technology (Georgia Tech),BME,1.23,2020-2021,3rd,,3,2020,28700,31500,0,0,31500,BME,Other,low,2800,2800,Georgia Institute of Technology Georgia Tech_Other
107,Stanford University (SU),Geophysics,1.69,2020-2021,1st,,1,2020,48636,48636,0,0,48636,Geophysics,Other,low,0,0,Stanford University SU_Other
108,Columbia University (CU),Graduate School of Arts and Sciences,1.38,2020-2021,1st,"Dean's Fellow, includes health insurance, guarantee graduate housing in lower rate around university. ",1,2020,41000,41000,0,0,41000,Graduate School of Arts and Sciences,Other,low,0,0,Columbia University CU_Other
109,Massachusetts Institute of Technology (MIT),Mechanical,1.32,2020-2021,1st,,1,2020,36984,36984,0,0,36984,Mechanical,Other,low,0,0,Massachusetts Institute of Technology MIT_Other
112,Carnegie Mellon University (CMU),Robotics Institute,1.74,2020-2021,1st,,1,2020,36000,36000,0,0,36000,Robotics Institute,Other,low,0,0,Carnegie Mellon University CMU_Other
118,University of Southern California (USC),Neurobiology,1.3,2020-2021,4th,,4,2020,33520,34000,0,0,34000,Neurobiology,Other,low,480,480,University of Southern California USC_Other
125,Pennsylvania State University (Penn State),Sociology,0.89,2016-2017,1st,,1,2016,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc
126,Pennsylvania State University (Penn State),Chemical engineering ,1.57,2020-2021,1st,,1,2020,35310,35310,0,0,35310,Chemical engineering ,Other,low,0,0,Pennsylvania State University Penn State_Other
131,University at Buffalo - SUNY,Computer Science and Engineering,1.25,2020-2021,1st,,1,2020,26200,0,20200,6000,26200,Computer Science and Engineering,Other,high,0,0,University at Buffalo - SUNY_Other
138,Stanford University (SU),Civil and Environmental Engineering,1.5,2019-2020,3rd,,3,2019,43228,46696,0,0,46696,Engineering,Engineering,low,3468,3468,Stanford University SU_Engineering
142,University of Texas - Austin (UT),Anthropology,0.07,2020-2021,6th and up,,6,2020,1600,0,1600,0,1600,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology
149,Pennsylvania State University (Penn State),Chemical Engineering,1.44,2020-2021,1st,,1,2020,32300,32300,0,0,32300,Engineering,Engineering,low,0,0,Pennsylvania State University Penn State_Engineering
154,University of California - San Diego (UCSD),Computer Science,1.21,2020-2021,1st,,1,2020,32000,32000,0,0,32000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science
155,University of California - San Diego (UCSD),Computer science,0.91,2020-2021,1st,,1,2020,24000,0,24000,0,24000,Computer science,Other,high,0,0,University of California - San Diego UCSD_Other
157,Massachusetts Institute of Technology (MIT),Physics ,1.47,2020-2021,2nd,,2,2020,41156,41496,0,0,41496,PhysicsAndAstronomy,PhysicsAndAstronomy,low,340,340,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
162,Case Western Reserve University,Molecular Medicine,1.63,2020-2021,1st,Includes $2500 move in fee,1,2020,32500,32500,0,0,32500,Molecular Medicine,Other,low,0,0,Case Western Reserve University_Other
164,Princeton University,"Department of Music, Musicology",1.35,2020-2021,1st,,1,2020,34250,34250,0,0,34250,"Department of Music, Musicology",Other,low,0,0,Princeton University_Other
165,Indiana University,Earth and atmospheric science,0.94,2020-2021,1st,,1,2020,20200,20200,0,0,20200,Earth and atmospheric science,Other,low,0,0,Indiana University_Other
166,Johns Hopkins University (JHU),Earth and Planetary Science,1.3,2019-2020,1st,"$2000 one time bonus upon enrollment. To be used for education/research/moving related expenses.
Funding is fixed through all years in the program.
Funding is guaranteed by department for 4 years. However, students can almost always obtain funding for additional years of study as necessary.",1,2019,33333,33333,0,0,33333,Earth and Planetary Science,Other,low,0,0,Johns Hopkins University JHU_Other
169,Harvard University (HU),Biological Sciences in Public Health,1.42,2020-2021,1st,Gross Pay is before Taxes. so After taxes roughly 2918 per month ,1,2020,40560,40560,0,0,40560,Biological Sciences in Public Health,Other,low,0,0,Harvard University HU_Other
172,Carnegie Mellon University (CMU),Materials Science and Engineering,1.36,2020-2021,1st,,1,2020,28050,28050,0,0,28050,Engineering,Engineering,low,0,0,Carnegie Mellon University CMU_Engineering
174,University of South Carolina (USC),Chemistry and Biochemistry,1.11,2020-2021,1st,,1,2020,25000,26000,0,0,26000,Chemistry,Chemistry,low,1000,1000,University of South Carolina USC_Chemistry
175,University of Texas - Dallas (UTD),Mechanical Engineering,0.09,2020-2021,1st,,1,2020,1850,1850,0,0,1850,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
176,University of Delaware (UD),Materials Science and Engineering,1.05,2020-2021,3rd,,3,2020,26750,28250,0,0,28250,Engineering,Engineering,low,1500,1500,University of Delaware UD_Engineering
178,Case Western Reserve University,Molecular medicine ,1.63,2020-2021,1st,,1,2020,32500,32500,0,0,32500,Molecular medicine ,Other,low,0,0,Case Western Reserve University_Other
180,University of California - San Francisco (UCSF),biomedical sciences,1.38,2020-2021,1st,,1,2020,41200,41200,0,0,41200,biomedical sciences,Other,low,0,0,University of California - San Francisco UCSF_Other
182,Arizona State University (ASU),History,0.84,2020-2021,1st,,1,2020,18564,0,18564,0,18564,HistPolSoc,HistPolSoc,high,0,0,Arizona State University ASU_HistPolSoc
183,Virginia Tech,Aerospace Engineering,1.14,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Virginia Tech_Engineering
186,Georgia Institute of Technology (Georgia Tech),Chemical Engineering,1.16,2020-2021,1st,"I received a wavier of standard out of state tuition but must pay a reduced matriculation fee of 25 per semester along with all assessed fee ($1,012 per term). I need to pay for health insurance roughly $700 per year .",1,2020,27080,30180,0,0,30180,Engineering,Engineering,low,3100,3100,Georgia Institute of Technology Georgia Tech_Engineering
187,Georgia State University (GSU),information system,1.12,2020-2021,1st,,1,2020,26000,30000,0,0,30000,information system,Other,low,4000,4000,Georgia State University GSU_Other
189,Pennsylvania State University (Penn State),Plant pathology,1.24,2020-2021,1st,,1,2020,27900,27900,0,0,27900,Plant pathology,Other,low,0,0,Pennsylvania State University Penn State_Other
190,University of Illinois - Chicago (UIC),GEMS,1.3,2020-2021,1st,,1,2020,31620,31620,0,0,31620,GEMS,Other,low,0,0,University of Illinois - Chicago UIC_Other
192,Vanderbilt University,Mechanical Engineering,1.31,2020-2021,3rd,"I am a 3rd year grad student, but the salary I listed is valid for all years (we do not receive milestone raises).  Nashville is expensive, but I find that the after tax revenue is enough to live alone near campus (I walk to work) and still save money.  This could change, of course, depending on each persons required monthly expenses.  Additionally, health insurance has always been included in the TA/RA offer.  We do not receive vision or dental, but they are both available for a low price ($11 per month for vision for me, and Vanderbilt has a student discount with local dentists such that cleanings can be easily afforded out of pocket).  ",3,2020,30000,30000,0,0,30000,Engineering,Engineering,low,0,0,Vanderbilt University_Engineering
193,Vanderbilt University,Biological Science ,1.39,2020-2021,1st,,1,2020,32000,32000,0,0,32000,Biological Science ,Other,low,0,0,Vanderbilt University_Other
195,University of Southern California (USC),Communication,1.16,2020-2021,1st,,1,2020,30000,0,27000,3000,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Southern California USC_LinguisticsAndCommunication
196,University of North Carolina - Chapel Hill (UNC),"Biology - Ecology, Evolution, and Organismal Biology",0.88,2020-2021,3rd,Before taxes,3,2020,19500,0,19500,0,19500,"Biology - Ecology, Evolution, and Organismal Biology",Other,high,0,0,University of North Carolina - Chapel Hill UNC_Other
198,University of Texas - Dallas (UTD),Mechanical engineering,0.09,2020-2021,1st,per month. elgible for health insurance starting second semester. ,1,2020,1850,0,1850,0,1850,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
200,University of Utah,bioscience,1.31,2020-2021,1st,,1,2020,29130,29130,0,0,29130,bioscience,Other,low,0,0,University of Utah_Other
202,New York University (NYU),MEIS,0.97,2020-2021,3rd,"When teaching, graduate workers get an additional ~6k per semester. Teaching positions are limited and not available all years. ",3,2020,28850,0,28850,0,28850,MEIS,Other,high,0,0,New York University NYU_Other
205,Massachusetts Institute of Technology (MIT),Urban Studies and Planning,1.18,2020-2021,1st,,1,2020,33000,0,33000,0,33000,Urban Studies and Planning,Other,high,0,0,Massachusetts Institute of Technology MIT_Other
210,University of California - San Diego (UCSD),Psychology,1.44,2020-2021,6th and up,,6,2020,38000,0,29000,9000,38000,HistPolSoc,HistPolSoc,high,0,0,University of California - San Diego UCSD_HistPolSoc
214,Stanford University (SU),Theater and Performance Studies,1.26,2020-2021,1st,Additional summer funding for the first two years. ,1,2020,36300,36300,0,0,36300,Theater and Performance Studies,Other,low,0,0,Stanford University SU_Other
219,Georgia Institute of Technology (Georgia Tech),Machine Learning PhD Program (Home Dept: ECE),1.09,2020-2021,4th,,4,2020,25400,29000,0,0,29000,Machine Learning PhD Program (Home Dept: ECE),Other,low,3600,3600,Georgia Institute of Technology Georgia Tech_Other
220,Johns Hopkins University (JHU),Medicine,1.33,2020-2021,1st,,1,2020,34223,34223,0,0,34223,Medicine,Other,low,0,0,Johns Hopkins University JHU_Other
223,University of Minnesota - Twin Cities (UM),Applied Plant Sciences,1.28,2020-2021,3rd,,3,2020,29366,31033,0,0,31033,Applied Plant Sciences,Other,low,1667,1667,University of Minnesota - Twin Cities UM_Other
227,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.03,2020-2021,2nd,Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. Tuition is waived.,2,2020,23900,26400,0,0,26400,Engineering,Engineering,low,2500,2500,Georgia Institute of Technology Georgia Tech_Engineering
230,Vanderbilt University,Chemical & Physical Biology,1.4,2020-2021,5th,,5,2020,32100,32500,0,0,32500,Chemical & Physical Biology,Other,low,400,400,Vanderbilt University_Other
233,Princeton University,Psychology,1.61,2020-2021,1st,,1,2020,40960,0,34800,6160,40960,HistPolSoc,HistPolSoc,high,0,0,Princeton University_HistPolSoc
236,North Carolina State University (NCSU),Biomedical Engineering,1.71,2020-2021,3rd,NSF GRFP (34K) plus supplement from advisor (5k),3,2020,39000,39000,0,0,39000,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering
237,University of Wisconsin - Madison (UW),Educational Psychology,0.79,2020-2021,1st,,1,2020,18100,0,18100,0,18100,Educational Psychology,Other,high,0,0,University of Wisconsin - Madison UW_Other
239,Indiana University,Sociology,1.0,2020-2021,1st,Increase in 500 each year for 3 years,1,2020,21500,21500,0,0,21500,HistPolSoc,HistPolSoc,low,0,0,Indiana University_HistPolSoc
243,University of Virginia (UVA),Psychology,1.05,2019-2020,1st,,1,2019,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
244,University of Virginia (UVA),Psychology,1.05,2020-2021,3rd,,3,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
245,University of Virginia (UVA),Psychology,1.05,2020-2021,1st,,1,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
246,University of Virginia (UVA),Psychology,0.88,2019-2020,5th,,5,2019,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of Virginia UVA_HistPolSoc
248,University of Virginia (UVA),Psychology,1.05,2020-2021,5th,,5,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
255,Northwestern University (NU),Mechanical Engineering,1.34,2020-2021,1st,We get paid about $2700 a month and the fees are only $125 per quarter. And health insurance worth over $4000,1,2020,32425,32800,0,0,32800,Engineering,Engineering,low,375,375,Northwestern University NU_Engineering
256,University of Michigan - Ann Arbor (UM),Aerospace Department ,1.42,2020-2021,1st,Health and dental insurance benefits included. Tuition for Fall and Winter terms. ,1,2020,32664,32664,0,0,32664,Aerospace Department ,Other,low,0,0,University of Michigan - Ann Arbor UM_Other
259,Syracuse University,geography,1.2,2020-2021,1st,,1,2020,25533,0,21000,4533,25533,geography,Other,high,0,0,Syracuse University_Other
260,Massachusetts Institute of Technology (MIT),Physics,1.47,2020-2021,5th,Stipend change not going into effect until September ,5,2020,41133,41501,0,0,41501,PhysicsAndAstronomy,PhysicsAndAstronomy,low,368,368,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
262,Oklahoma State University (OSU),Industrial Engineering MS,0.57,2019-2020,2nd,,2,2019,11000,0,16000,0,16000,Industrial Engineering MS,Other,high,5000,5000,Oklahoma State University OSU_Other
263,Texas Tech University (TTU),Computer Science PhD,1.43,2020-2021,1st,,1,2020,29000,29000,0,0,29000,Computer Science PhD,Other,low,0,0,Texas Tech University TTU_Other
268,University of Southern California (USC),Linguistics,1.18,2020-2021,1st,,1,2020,30500,0,30500,0,30500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Southern California USC_LinguisticsAndCommunication
273,University of Notre Dame (ND),History ,1.12,2020-2021,4th,,4,2020,23000,23000,0,0,23000,HistPolSoc,HistPolSoc,low,0,0,University of Notre Dame ND_HistPolSoc
276,University of Michigan - Ann Arbor (UM),Program in Biomedical Sciences,1.42,2020-2021,1st,,1,2020,32739,32739,0,0,32739,Program in Biomedical Sciences,Other,low,0,0,University of Michigan - Ann Arbor UM_Other
277,University of Michigan - Ann Arbor (UM),EE PhD,1.42,2020-2021,4th,Stipend only,4,2020,32668,32668,0,0,32668,EE PhD,Other,low,0,0,University of Michigan - Ann Arbor UM_Other
281,University of Michigan - Ann Arbor (UM),Biomedical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
283,University of Michigan - Ann Arbor (UM),Mechanical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
284,Northwestern University (NU),Health Sciences Integrated PhD Program,1.38,2020-2021,1st,,1,2020,33504,33504,0,0,33504,Health Sciences Integrated PhD Program,Other,low,0,0,Northwestern University NU_Other
287,University of Wisconsin - Madison (UW),Chemistry,1.16,2020-2021,1st,,1,2020,26450,28050,0,0,28050,Chemistry,Chemistry,low,1600,1600,University of Wisconsin - Madison UW_Chemistry
293,University of California - Los Angeles (UCLA),Sociology,1.08,2020-2021,1st,"$4,000 departmental funding guaranteed for first year summer if not granted university's $6,000 stipend ",1,2020,28000,0,24000,4000,28000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
299,University of Michigan - Ann Arbor (UM),earth and environmental science,1.42,2020-2021,1st,,1,2020,32668,32668,0,0,32668,earth and environmental science,Other,low,0,0,University of Michigan - Ann Arbor UM_Other
302,University of Florida (UF),Anthropology,1.36,2020-2021,1st,"Doesn't include $10 per month for health insurance, tuition fees each semester (~$500)",1,2020,31000,31000,0,0,31000,Biology,Biology,low,0,0,University of Florida UF_Biology
303,University of California - San Diego (UCSD),Bioinformatics and Systems Biology,1.25,2019-2020,3rd,,3,2019,33000,33000,0,0,33000,Bioinformatics and Systems Biology,Other,low,0,0,University of California - San Diego UCSD_Other
306,University of Minnesota - Twin Cities (UM),Land and Atmospheric Science (LAAS),1.04,2020-2021,1st,"Required fees ""may run as high as $920/semester"". ",1,2020,23935,25775,0,0,25775,Land and Atmospheric Science (LAAS),Other,low,1840,1840,University of Minnesota - Twin Cities UM_Other
308,Princeton University,philosophy,1.4,2020-2021,1st,,1,2020,35500,35500,0,0,35500,philosophy,Other,low,0,0,Princeton University_Other
315,University of California - Los Angeles (UCLA),Theater and Performance,1.0,2020-2021,1st,"In addition to tuition, fee and insurance",1,2020,25750,0,25750,0,25750,Theater and Performance,Other,high,0,0,University of California - Los Angeles UCLA_Other
318,University of Michigan - Ann Arbor (UM),PIBS/ Microbiology & Immunology,1.42,2020-2021,2nd,Im guaranteed full support for the duration of my Ph.D.  ,2,2020,32700,32700,0,0,32700,PIBS/ Microbiology & Immunology,Other,low,0,0,University of Michigan - Ann Arbor UM_Other
320,University of Arizona (U of A),Systems and Industrial Engineering  ,0.86,2020-2021,1st,,1,2020,17800,0,19300,0,19300,Systems and Industrial Engineering  ,Other,high,1500,1500,University of Arizona U of A_Other
323,University of Minnesota - Twin Cities (UM),Health services Research ,1.27,2020-2021,1st,,1,2020,29000,29000,0,0,29000,Health services Research ,Other,low,0,0,University of Minnesota - Twin Cities UM_Other
329,Washington State University (WSU),Engineering and Computer Science,0.79,2019-2020,2nd,,2,2019,15000,17000,0,0,17000,Engineering and Computer Science,Other,low,2000,2000,Washington State University WSU_Other
333,Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering (ECE),0.98,2020-2021,1st,"ECE Fellowship of 3000 / first year+ 1980 per month GTA. The stipend will increase upon receiving a GRA.  Funding for Fall, Spring and Summer of first year, after which the studnent is expected to get a GRA.",1,2020,22860,26760,0,0,26760,Electrical and Computer Engineering (ECE),Other,low,3900,3900,Georgia Institute of Technology Georgia Tech_Other
337,Pennsylvania State University (Penn State),Geography,1.84,2020-2021,1st,,1,2020,41270,0,35000,6800,41800,Geography,Geography,high,530,530,Pennsylvania State University Penn State_Geography
338,Louisiana State University - Baton Rouge,Communication Studies,0.69,2020-2021,1st,,1,2020,15050,0,15050,0,15050,Communication Studies,Other,high,0,0,Louisiana State University - Baton Rouge_Other
340,University of Florida (UF),College of Medicine,1.25,2020-2021,1st,,1,2020,28400,29850,0,0,29850,College of Medicine,Other,low,1450,1450,University of Florida UF_Other
341,University of Delaware (UD),mechanical,0.1,2019-2020,1st,semester fee of around $750 is paid,1,2019,2450,2450,0,0,2450,mechanical,Other,low,0,0,University of Delaware UD_Other
342,University of Wisconsin - Madison (UW),Nuclear Engineering,1.16,2020-2021,1st,,1,2020,26533,27333,0,0,27333,Nuclear Engineering,Other,low,800,800,University of Wisconsin - Madison UW_Other
343,Washington State University (WSU),civil and environmental engineering department,0.99,2020-2021,1st,,1,2020,18748,0,15561,5187,20748,civil and environmental engineering department,Other,high,2000,2000,Washington State University WSU_Other
344,Stony Brook University - SUNY,Computer Science,0.72,2020-2021,1st,,1,2020,20000,20000,0,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,Stony Brook University - SUNY_MathematicsAndComputer Science
346,New York University (NYU),stern business,1.23,2020-2021,1st,two year of discounted housing,1,2020,36500,36500,0,0,36500,stern business,Other,low,0,0,New York University NYU_Other
349,University of Notre Dame (ND),Civil and Environmental Engineering and Earth Sciences,1.45,2019-2020,1st,,1,2019,29720,30000,0,0,30000,Civil and Environmental Engineering and Earth Sciences,Other,low,280,280,University of Notre Dame ND_Other
350,University of Pennsylvania,Computer and Information Science,1.45,2020-2021,2nd,,2,2020,35000,35000,0,0,35000,Computer and Information Science,Other,low,0,0,University of Pennsylvania_Other
351,Iowa State University (ISU),civil engineering,1.18,2020-2021,1st,,1,2020,25104,25104,0,0,25104,civil engineering,Other,low,0,0,Iowa State University ISU_Other
354,University of Iowa (UI),Civil and Environmental Engineering ,1.31,2020-2021,1st,"Tuition, fee and insurance are waived. Funding is given for four years. Conditions: 3.00+ gpa, good recommendation from supervisor about research.",1,2020,29000,29000,0,0,29000,Civil and Environmental Engineering ,Other,low,0,0,University of Iowa UI_Other
355,Stony Brook University - SUNY,Computer Science,1.01,2020-2021,1st,,1,2020,28200,0,20000,10000,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1800,1800,Stony Brook University - SUNY_MathematicsAndComputer Science
357,Purdue University - West Lafayette,PULSe,1.2,2020-2021,1st,,1,2020,25400,26000,0,0,26000,PULSe,Other,low,600,600,Purdue University - West Lafayette_Other
361,Ohio State University (OSU),Educational Studies and Human Ecology ,1.31,2020-2021,1st,,1,2020,26316,26316,0,0,26316,Educational Studies and Human Ecology ,Other,low,0,0,Ohio State University OSU_Other
363,University of North Carolina - Chapel Hill (UNC),Health Behavior,0.71,2020-2021,1st,Fees covered.,1,2020,15700,0,15700,0,15700,Health Behavior,Other,high,0,0,University of North Carolina - Chapel Hill UNC_Other
364,Vanderbilt University,Health Policy,1.39,2020-2021,1st,,1,2020,32000,32500,0,0,32500,Health Policy,Other,low,500,500,Vanderbilt University_Other
366,University of California - Irvine (UCI),Sociology,0.92,2020-2021,1st,NEGOTIATE. Amount includes additional first year summer funding from negotiations (and first quarter fellowship). ,1,2020,26997,0,21992,5500,27492,HistPolSoc,HistPolSoc,high,495,495,University of California - Irvine UCI_HistPolSoc
367,University of California - Irvine (UCI),Sociology,0.79,2020-2021,1st,"100% health insurance coverage, most fees covered (~$500 not covered), one-time $1,500 summer funding, 5 years guaranteed campus housing",1,2020,22997,0,21992,1500,23492,HistPolSoc,HistPolSoc,high,495,495,University of California - Irvine UCI_HistPolSoc
368,University of Texas - Austin (UT),sociology,0.88,2020-2021,1st,,1,2020,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc
