,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
227,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.03,2020-2021,2nd,Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. Tuition is waived.,2,2020,23900,26400,0,0,26400,Engineering,Engineering,low,2500,2500,Georgia Institute of Technology Georgia Tech_Engineering
232,Rutgers the State University of New Jersey - New Brunswick,Clinical Psychology,0.97,2020-2021,1st,,1,2020,25000,0,25000,0,25000,Medical,Medical,high,0,0,Rutgers the State University of New Jersey - New Brunswick_Medical
233,Princeton University,Psychology,1.61,2020-2021,1st,,1,2020,40960,0,34800,6160,40960,HistPolSoc,HistPolSoc,high,0,0,Princeton University_HistPolSoc
234,University of Southern California (USC),physics,1.24,2020-2021,1st,,1,2020,32000,32000,0,0,32000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,University of Southern California USC_PhysicsAndAstronomy
236,North Carolina State University (NCSU),Biomedical Engineering,1.71,2020-2021,3rd,NSF GRFP (34K) plus supplement from advisor (5k),3,2020,39000,39000,0,0,39000,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering
239,Indiana University,Sociology,1.0,2020-2021,1st,Increase in 500 each year for 3 years,1,2020,21500,21500,0,0,21500,HistPolSoc,HistPolSoc,low,0,0,Indiana University_HistPolSoc
240,Case Western Reserve University,math,0.89,2019-2020,2nd,,2,2019,17892,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,108,108,Case Western Reserve University_MathematicsAndComputer Science
243,University of Virginia (UVA),Psychology,1.05,2019-2020,1st,,1,2019,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
244,University of Virginia (UVA),Psychology,1.05,2020-2021,3rd,,3,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
245,University of Virginia (UVA),Psychology,1.05,2020-2021,1st,,1,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
246,University of Virginia (UVA),Psychology,0.88,2019-2020,5th,,5,2019,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of Virginia UVA_HistPolSoc
248,University of Virginia (UVA),Psychology,1.05,2020-2021,5th,,5,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
250,Yale University (YU),Religion,1.32,2020-2021,1st,,1,2020,32700,32700,0,0,32700,ArtsAndTheology,ArtsAndTheology,low,0,0,Yale University YU_ArtsAndTheology
251,Iowa State University (ISU),Physics,1.14,2018-2019,3rd,,3,2018,24100,25200,0,0,25200,PhysicsAndAstronomy,PhysicsAndAstronomy,low,1100,1100,Iowa State University ISU_PhysicsAndAstronomy
252,University of Pennsylvania,Bioengineering,1.43,2020-2021,1st,,1,2020,34500,34500,0,0,34500,Engineering,Engineering,low,0,0,University of Pennsylvania_Engineering
253,Iowa State University (ISU),Physics,0.04,2020-2021,1st,,1,2020,900,2100,0,0,2100,PhysicsAndAstronomy,PhysicsAndAstronomy,low,1200,1200,Iowa State University ISU_PhysicsAndAstronomy
255,Northwestern University (NU),Mechanical Engineering,1.34,2020-2021,1st,We get paid about $2700 a month and the fees are only $125 per quarter. And health insurance worth over $4000,1,2020,32425,32800,0,0,32800,Engineering,Engineering,low,375,375,Northwestern University NU_Engineering
257,University of California - Davis (UCD),Biophysics,1.33,2020-2021,1st,,1,2020,32000,32000,0,0,32000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,University of California - Davis UCD_PhysicsAndAstronomy
260,Massachusetts Institute of Technology (MIT),Physics,1.47,2020-2021,5th,Stipend change not going into effect until September ,5,2020,41133,41501,0,0,41501,PhysicsAndAstronomy,PhysicsAndAstronomy,low,368,368,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
261,University of Alabama (UA),Engineering,0.75,2020-2021,1st,,1,2020,15750,0,15750,0,15750,Engineering,Engineering,high,0,0,University of Alabama UA_Engineering
266,Washington State University (WSU),Computer Science,1.29,2019-2020,1st,It's very cheap in Pullman and funding is very good relatively. Though summer funding is not ensured for all. It's 2200 per month.,1,2019,24400,26400,0,0,26400,MathematicsAndComputer Science,MathematicsAndComputer Science,low,2000,2000,Washington State University WSU_MathematicsAndComputer Science
267,University of Florida (UF),Geological Sciences,1.18,2020-2021,1st,In addition to tuition waiver. Overall pay doesn't include $10 per month for health insurance and graduate fees (~$1000-1400 per year). ,1,2020,26780,26780,0,0,26780,Geography,Geography,low,0,0,University of Florida UF_Geography
268,University of Southern California (USC),Linguistics,1.18,2020-2021,1st,,1,2020,30500,0,30500,0,30500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Southern California USC_LinguisticsAndCommunication
272,Temple University (TU),Physics,1.2,2019-2020,1st,University fellowship,1,2019,28980,30000,0,0,30000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,1020,1020,Temple University TU_PhysicsAndAstronomy
273,University of Notre Dame (ND),History ,1.12,2020-2021,4th,,4,2020,23000,23000,0,0,23000,HistPolSoc,HistPolSoc,low,0,0,University of Notre Dame ND_HistPolSoc
278,Florida State University (FSU),Religious Studies,0.72,2020-2021,1st,,1,2020,16750,0,16750,0,16750,ArtsAndTheology,ArtsAndTheology,high,0,0,Florida State University FSU_ArtsAndTheology
279,Clemson University (CU),Computer Science,1.3,2020-2021,1st,,1,2020,27000,27000,0,0,27000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,Clemson University CU_MathematicsAndComputer Science
281,University of Michigan - Ann Arbor (UM),Biomedical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
283,University of Michigan - Ann Arbor (UM),Mechanical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
287,University of Wisconsin - Madison (UW),Chemistry,1.16,2020-2021,1st,,1,2020,26450,28050,0,0,28050,Chemistry,Chemistry,low,1600,1600,University of Wisconsin - Madison UW_Chemistry
292,University of Cincinnati (UC),Political Science,0.88,2020-2021,1st,,1,2020,17000,17000,0,0,17000,HistPolSoc,HistPolSoc,low,0,0,University of Cincinnati UC_HistPolSoc
293,University of California - Los Angeles (UCLA),Sociology,1.08,2020-2021,1st,"$4,000 departmental funding guaranteed for first year summer if not granted university's $6,000 stipend ",1,2020,28000,0,24000,4000,28000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
300,New York University (NYU),Economics (Stern),1.21,2019-2020,1st,"Paid over 11 months, no funding in 6th year.",1,2019,35950,36500,0,0,36500,BusinessAndManagement,BusinessAndManagement,low,550,550,New York University NYU_BusinessAndManagement
301,University at Buffalo - SUNY,Political Science,1.55,2020-2021,1st,20k base then 12.5k additional Schomberg fellowship,1,2020,32500,32500,0,0,32500,HistPolSoc,HistPolSoc,low,0,0,University at Buffalo - SUNY_HistPolSoc
302,University of Florida (UF),Anthropology,1.36,2020-2021,1st,"Doesn't include $10 per month for health insurance, tuition fees each semester (~$500)",1,2020,31000,31000,0,0,31000,Biology,Biology,low,0,0,University of Florida UF_Biology
307,Indiana University,Anthropology,0.6,2019-2020,2nd,,2,2019,13024,0,15750,0,15750,Biology,Biology,high,2726,2726,Indiana University_Biology
313,Purdue University - West Lafayette,Economics,1.11,2019-2020,1st,,1,2019,23500,24000,0,0,24000,BusinessAndManagement,BusinessAndManagement,low,500,500,Purdue University - West Lafayette_BusinessAndManagement
314,Stony Brook University - SUNY,Civil Engineering,0.86,2020-2021,1st,,1,2020,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Stony Brook University - SUNY_Engineering
326,University of Delaware (UD),Chemistry and Biochemistry,1.01,2019-2020,2nd,,2,2019,25700,27500,0,0,27500,Chemistry,Chemistry,low,1800,1800,University of Delaware UD_Chemistry
330,University of Arizona (U of A),Computer Science,1.12,2019-2020,4th,"The amounts mentioned are estimates. 9 months pay is at 0.50 FTE, either from TA or RA (GA). Summer pay is not confirmed and may come from summer teaching or RA. Salary increases about 5% after Comprehensive Exam. Required fees include: mandatory fee for fall+spring semesters and international student services fees.",4,2019,23200,0,18500,6000,24500,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1300,1300,University of Arizona U of A_MathematicsAndComputer Science
332,University of Connecticut (UConn),Chemistry,1.08,2019-2020,3rd,Full TA assignment. Second level of pay scale. ,3,2019,26393,0,25081,3000,28081,Chemistry,Chemistry,high,1688,1688,University of Connecticut UConn_Chemistry
334,University of Texas - Austin (UT),Mathematics,1.49,2020-2021,1st,,1,2020,34000,34000,0,0,34000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Texas - Austin UT_MathematicsAndComputer Science
335,University of Pennsylvania,Bioengineering,1.43,2019-2020,3rd,,3,2019,34500,34500,0,0,34500,Engineering,Engineering,low,0,0,University of Pennsylvania_Engineering
336,Rutgers the State University of New Jersey - New Brunswick,Philosophy,1.49,2020-2021,1st,health insurance and tuition included,1,2020,38376,0,34500,5000,39500,ArtsAndTheology,ArtsAndTheology,high,1124,1124,Rutgers the State University of New Jersey - New Brunswick_ArtsAndTheology
337,Pennsylvania State University (Penn State),Geography,1.84,2020-2021,1st,,1,2020,41270,0,35000,6800,41800,Geography,Geography,high,530,530,Pennsylvania State University Penn State_Geography
339,University of Southern California (USC),Epidemiology,1.39,2020-2021,1st,,1,2020,36000,36000,0,0,36000,Medical,Medical,low,0,0,University of Southern California USC_Medical
344,Stony Brook University - SUNY,Computer Science,0.72,2020-2021,1st,,1,2020,20000,20000,0,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,Stony Brook University - SUNY_MathematicsAndComputer Science
355,Stony Brook University - SUNY,Computer Science,1.01,2020-2021,1st,,1,2020,28200,0,20000,10000,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1800,1800,Stony Brook University - SUNY_MathematicsAndComputer Science
366,University of California - Irvine (UCI),Sociology,0.92,2020-2021,1st,NEGOTIATE. Amount includes additional first year summer funding from negotiations (and first quarter fellowship). ,1,2020,26997,0,21992,5500,27492,HistPolSoc,HistPolSoc,high,495,495,University of California - Irvine UCI_HistPolSoc
367,University of California - Irvine (UCI),Sociology,0.79,2020-2021,1st,"100% health insurance coverage, most fees covered (~$500 not covered), one-time $1,500 summer funding, 5 years guaranteed campus housing",1,2020,22997,0,21992,1500,23492,HistPolSoc,HistPolSoc,high,495,495,University of California - Irvine UCI_HistPolSoc
368,University of Texas - Austin (UT),sociology,0.88,2020-2021,1st,,1,2020,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc
370,University of California - Los Angeles (UCLA),Sociology ,1.12,2020-2021,1st,"Cota-Robles Fellowship from graduate division raises stipend to $25,000 instead of $24,000 for 9 months. $4,000 for summer is for first year only. ",1,2020,29000,0,25000,4000,29000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc
