,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept,Overall_Pay_corr,Fees_corr,Dep_LeftRight
20,Georgia Institute of Technology (Georgia Tech),Chemical Engineering,1.16,2020-2021,1st,"I received a wavier of standard out of state tuition but must pay a reduced matriculation fee of 25 per semester along with all assessed fee ($1,012 per term). I need to pay for health insurance roughly $700 per year .",1,2020,27080,30180,0,0,30180,Engineering,Engineering,low,3100,3100,Georgia Institute of Technology Georgia Tech_Engineering,23344.8275862069,2672.4137931034484,0
21,Vanderbilt University,Mechanical Engineering,1.31,2020-2021,3rd,"I am a 3rd year grad student, but the salary I listed is valid for all years (we do not receive milestone raises).  Nashville is expensive, but I find that the after tax revenue is enough to live alone near campus (I walk to work) and still save money.  This could change, of course, depending on each persons required monthly expenses.  Additionally, health insurance has always been included in the TA/RA offer.  We do not receive vision or dental, but they are both available for a low price ($11 per month for vision for me, and Vanderbilt has a student discount with local dentists such that cleanings can be easily afforded out of pocket).  ",3,2020,30000,30000,0,0,30000,Engineering,Engineering,low,0,0,Vanderbilt University_Engineering,22900.763358778626,0.0,0
22,University of Southern California (USC),Communication,1.16,2020-2021,1st,,1,2020,30000,0,27000,3000,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Southern California USC_LinguisticsAndCommunication,25862.068965517243,0.0,1
23,University of Texas - Dallas (UTD),Mechanical engineering,0.09,2020-2021,1st,per month. elgible for health insurance starting second semester. ,1,2020,1850,0,1850,0,1850,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering,20555.555555555555,0.0,0
24,University of California - San Diego (UCSD),Psychology,1.44,2020-2021,6th and up,,6,2020,38000,0,29000,9000,38000,HistPolSoc,HistPolSoc,high,0,0,University of California - San Diego UCSD_HistPolSoc,26388.88888888889,0.0,1
25,Georgia Institute of Technology (Georgia Tech),Aerospace Engineering,1.03,2020-2021,2nd,Fees ~1k per fall/spring and $500 for the summer. Health Insurance not included in these fees. Tuition is waived.,2,2020,23900,26400,0,0,26400,Engineering,Engineering,low,2500,2500,Georgia Institute of Technology Georgia Tech_Engineering,23203.88349514563,2427.1844660194174,0
26,Princeton University,Psychology,1.61,2020-2021,1st,,1,2020,40960,0,34800,6160,40960,HistPolSoc,HistPolSoc,high,0,0,Princeton University_HistPolSoc,25440.993788819873,0.0,1
27,North Carolina State University (NCSU),Biomedical Engineering,1.71,2020-2021,3rd,NSF GRFP (34K) plus supplement from advisor (5k),3,2020,39000,39000,0,0,39000,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering,22807.01754385965,0.0,0
28,Indiana University,Sociology,1.0,2020-2021,1st,Increase in 500 each year for 3 years,1,2020,21500,21500,0,0,21500,HistPolSoc,HistPolSoc,low,0,0,Indiana University_HistPolSoc,21500.0,0.0,1
29,University of Virginia (UVA),Psychology,1.05,2019-2020,1st,,1,2019,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc,22857.142857142855,0.0,1
30,University of Virginia (UVA),Psychology,1.05,2020-2021,3rd,,3,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc,22857.142857142855,0.0,1
31,University of Virginia (UVA),Psychology,1.05,2020-2021,1st,,1,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc,22857.142857142855,0.0,1
32,University of Virginia (UVA),Psychology,0.88,2019-2020,5th,,5,2019,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of Virginia UVA_HistPolSoc,22727.272727272728,0.0,1
33,University of Virginia (UVA),Psychology,1.05,2020-2021,5th,,5,2020,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc,22857.142857142855,0.0,1
34,Northwestern University (NU),Mechanical Engineering,1.34,2020-2021,1st,We get paid about $2700 a month and the fees are only $125 per quarter. And health insurance worth over $4000,1,2020,32425,32800,0,0,32800,Engineering,Engineering,low,375,375,Northwestern University NU_Engineering,24197.76119402985,279.8507462686567,0
35,Massachusetts Institute of Technology (MIT),Physics,1.47,2020-2021,5th,Stipend change not going into effect until September ,5,2020,41133,41501,0,0,41501,PhysicsAndAstronomy,PhysicsAndAstronomy,low,368,368,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy,27981.632653061224,250.34013605442178,0
36,University of Southern California (USC),Linguistics,1.18,2020-2021,1st,,1,2020,30500,0,30500,0,30500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Southern California USC_LinguisticsAndCommunication,25847.457627118645,0.0,1
37,University of Notre Dame (ND),History ,1.12,2020-2021,4th,,4,2020,23000,23000,0,0,23000,HistPolSoc,HistPolSoc,low,0,0,University of Notre Dame ND_HistPolSoc,20535.714285714283,0.0,1
38,University of Michigan - Ann Arbor (UM),Biomedical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering,23007.04225352113,0.0,0
39,University of Michigan - Ann Arbor (UM),Mechanical Engineering,1.42,2020-2021,1st,,1,2020,32670,32670,0,0,32670,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering,23007.04225352113,0.0,0
40,University of Wisconsin - Madison (UW),Chemistry,1.16,2020-2021,1st,,1,2020,26450,28050,0,0,28050,Chemistry,Chemistry,low,1600,1600,University of Wisconsin - Madison UW_Chemistry,22801.724137931036,1379.3103448275863,0
41,University of California - Los Angeles (UCLA),Sociology,1.08,2020-2021,1st,"$4,000 departmental funding guaranteed for first year summer if not granted university's $6,000 stipend ",1,2020,28000,0,24000,4000,28000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc,25925.925925925923,0.0,1
42,University of Florida (UF),Anthropology,1.36,2020-2021,1st,"Doesn't include $10 per month for health insurance, tuition fees each semester (~$500)",1,2020,31000,31000,0,0,31000,Biology,Biology,low,0,0,University of Florida UF_Biology,22794.11764705882,0.0,0
43,Pennsylvania State University (Penn State),Geography,1.84,2020-2021,1st,,1,2020,41270,0,35000,6800,41800,Geography,Geography,high,530,530,Pennsylvania State University Penn State_Geography,22429.347826086956,288.04347826086956,0
44,Stony Brook University - SUNY,Computer Science,0.72,2020-2021,1st,,1,2020,20000,20000,0,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,Stony Brook University - SUNY_MathematicsAndComputer Science,27777.777777777777,0.0,0
45,Stony Brook University - SUNY,Computer Science,1.01,2020-2021,1st,,1,2020,28200,0,20000,10000,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1800,1800,Stony Brook University - SUNY_MathematicsAndComputer Science,27920.79207920792,1782.1782178217823,0
46,University of California - Irvine (UCI),Sociology,0.92,2020-2021,1st,NEGOTIATE. Amount includes additional first year summer funding from negotiations (and first quarter fellowship). ,1,2020,26997,0,21992,5500,27492,HistPolSoc,HistPolSoc,high,495,495,University of California - Irvine UCI_HistPolSoc,29344.565217391304,538.0434782608695,1
47,University of California - Irvine (UCI),Sociology,0.79,2020-2021,1st,"100% health insurance coverage, most fees covered (~$500 not covered), one-time $1,500 summer funding, 5 years guaranteed campus housing",1,2020,22997,0,21992,1500,23492,HistPolSoc,HistPolSoc,high,495,495,University of California - Irvine UCI_HistPolSoc,29110.12658227848,626.5822784810126,1
48,University of Texas - Austin (UT),sociology,0.88,2020-2021,1st,,1,2020,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc,22727.272727272728,0.0,1
49,University of California - Los Angeles (UCLA),Sociology ,1.12,2020-2021,1st,"Cota-Robles Fellowship from graduate division raises stipend to $25,000 instead of $24,000 for 9 months. $4,000 for summer is for first year only. ",1,2020,29000,0,25000,4000,29000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc,25892.85714285714,0.0,1
50,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,1.35,2020-2021,1st,Performing a lab rotation for the 1st year.,1,2020,30000,34000,0,0,34000,Engineering,Engineering,low,4000,4000,University of North Carolina - Chapel Hill UNC_Engineering,22222.22222222222,2962.9629629629626,0
51,Princeton University,Politics,1.4,2020-2021,1st,,1,2020,35500,35500,0,0,35500,HistPolSoc,HistPolSoc,low,0,0,Princeton University_HistPolSoc,25357.14285714286,0.0,1
52,University of South Carolina (USC),Chemistry,1.15,2020-2021,1st,,1,2020,26000,26000,0,0,26000,Chemistry,Chemistry,low,0,0,University of South Carolina USC_Chemistry,22608.695652173916,0.0,0
53,Northwestern University (NU),Chemistry ,1.38,2020-2021,1st,"I have an additional fellowship that is $10,000/year, so actually making $43,504 before taxes",1,2020,33504,33504,0,0,33504,Chemistry,Chemistry,low,0,0,Northwestern University NU_Chemistry,24278.26086956522,0.0,0
54,Stony Brook University - SUNY,Computer Science,0.63,2020-2021,1st,,1,2020,17500,0,20000,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,2500,2500,Stony Brook University - SUNY_MathematicsAndComputer Science,27777.777777777777,3968.253968253968,0
55,Northwestern University (NU),Materials Science and Engineering,1.38,2020-2021,1st,NSF Fellow. Additional Health insurance.,1,2020,33504,33504,0,0,33504,Engineering,Engineering,low,0,0,Northwestern University NU_Engineering,24278.26086956522,0.0,0
56,University of California - Berkeley,Materials Science and Engineering,1.28,2020-2021,1st,"NSF Fellow, GSR (Graduate Student Researcher) position. Additional Health and dental insurance. Summer months have higher distribution. ",1,2020,35485,35485,0,0,35485,Engineering,Engineering,low,0,0,University of California - Berkeley_Engineering,27722.65625,0.0,0
57,Stanford University (SU),Materials Science and Engineering,1.5,2020-2021,1st,Base Rate. Not including additional 50% insurance subsidy. ,1,2020,43000,43000,0,0,43000,Engineering,Engineering,low,0,0,Stanford University SU_Engineering,28666.666666666668,0.0,0
58,Stanford University (SU),Materials Science and Engineering,1.64,2020-2021,1st,"NSF Fellow, allotted higher stipend compared to base rate. Not including additional 50% insurance subsidy. ",1,2020,47200,47200,0,0,47200,Engineering,Engineering,low,0,0,Stanford University SU_Engineering,28780.487804878052,0.0,0
59,Princeton University,political science,1.4,2020-2021,1st,,1,2020,35500,35500,0,0,35500,HistPolSoc,HistPolSoc,low,0,0,Princeton University_HistPolSoc,25357.14285714286,0.0,1
60,University of Virginia (UVA),Materials Science and Engineering,1.09,2020-2021,2nd,,2,2020,25000,25000,0,0,25000,Engineering,Engineering,low,0,0,University of Virginia UVA_Engineering,22935.77981651376,0.0,0
61,University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering,1.2,2020-2021,1st,11 months of support. Tuition waiver and partial fee waiver.,1,2020,26400,26400,0,0,26400,Engineering,Engineering,low,0,0,University of Illinois - Urbana- Champaign UIUC_Engineering,22000.0,0.0,0
62,Rice University,Bioengineering,1.42,2020-2021,1st,,1,2020,31075,32500,0,0,32500,Engineering,Engineering,low,1425,1425,Rice University_Engineering,21883.80281690141,1003.5211267605634,0
63,University of Chicago (UC),Economics,1.73,2020-2021,1st,Department of Economics,1,2020,42000,42000,0,0,42000,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Chicago UC_BusinessAndManagement,24277.456647398845,0.0,0
64,University of Chicago (UC),Economics,1.79,2020-2021,1st,Booth,1,2020,43500,43500,0,0,43500,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Chicago UC_BusinessAndManagement,24301.67597765363,0.0,0
65,Virginia Tech,Electrical Engineering,1.09,2020-2021,1st,Offer letter / GRA + tuition waiver,1,2020,23000,23000,0,0,23000,Engineering,Engineering,low,0,0,Virginia Tech_Engineering,21100.917431192658,0.0,0
66,Northwestern University (NU),History,1.34,2020-2021,1st,"First year is fellowship, assistantships in years to follow",1,2020,32500,33000,0,0,33000,HistPolSoc,HistPolSoc,low,500,500,Northwestern University NU_HistPolSoc,24253.73134328358,373.13432835820896,1
67,University of Wisconsin - Madison (UW),statistics,0.85,2020-2021,1st,,1,2020,19500,0,20200,0,20200,MathematicsAndComputer Science,MathematicsAndComputer Science,high,700,700,University of Wisconsin - Madison UW_MathematicsAndComputer Science,22941.176470588234,823.5294117647059,0
68,University of California - Los Angeles (UCLA),sociology,0.93,2020-2021,1st,,1,2020,24000,0,24000,0,24000,HistPolSoc,HistPolSoc,high,0,0,University of California - Los Angeles UCLA_HistPolSoc,25806.451612903224,0.0,1
69,University of California - Berkeley,Political Science,1.3,2019-2020,1st,,1,2019,36000,36000,0,0,36000,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc,27692.30769230769,0.0,1
70,Virginia Tech,Electrical and Computer Engineering,1.1,2020-2021,1st,,1,2020,23070,0,25200,0,25200,Engineering,Engineering,high,2130,2130,Virginia Tech_Engineering,20972.727272727272,1936.3636363636363,0
71,University of Michigan - Ann Arbor (UM),Statistics,1.27,2020-2021,1st,,1,2020,29300,0,24300,5000,29300,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Michigan - Ann Arbor UM_MathematicsAndComputer Science,23070.866141732284,0.0,0
72,University of California - Los Angeles (UCLA),Chemical Engineering,1.24,2020-2021,1st,,1,2020,32000,32000,0,0,32000,Engineering,Engineering,low,0,0,University of California - Los Angeles UCLA_Engineering,25806.451612903227,0.0,0
73,University of Illinois - Urbana- Champaign (UIUC),Math,0.95,2020-2021,1st,Also receive SLOAN fellowship and Graduate College Fellowship,1,2020,20950,0,21600,0,21600,MathematicsAndComputer Science,MathematicsAndComputer Science,high,650,650,University of Illinois - Urbana- Champaign UIUC_MathematicsAndComputer Science,22052.63157894737,684.2105263157895,0
74,University of Texas - Austin (UT),Biomedical Engineering,1.4,2020-2021,5th,$5000 Engineering faculty fellowship ,5,2020,32000,32000,0,0,32000,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering,22857.14285714286,0.0,0
75,Stanford University (SU),Biosciences,1.6,2020-2021,1st,,1,2020,46000,46000,0,0,46000,Biology,Biology,low,0,0,Stanford University SU_Biology,28750.0,0.0,0
76,University of California - Davis (UCD),Sociology,1.0,2020-2021,1st,,1,2020,23959,0,23109,2000,25109,HistPolSoc,HistPolSoc,high,1150,1150,University of California - Davis UCD_HistPolSoc,23959.0,1150.0,1
77,University of Illinois - Urbana- Champaign (UIUC),Environmental Engineering,1.57,2020-2021,1st,,1,2020,34500,35000,0,0,35000,Engineering,Engineering,low,500,500,University of Illinois - Urbana- Champaign UIUC_Engineering,21974.522292993628,318.4713375796178,0
78,Drexel University (DU),Electrical Engineering,0.74,2020-2021,4th,,4,2020,17820,0,17820,0,17820,Engineering,Engineering,high,0,0,Drexel University DU_Engineering,24081.08108108108,0.0,0
79,University of California - Berkeley,sociology,1.01,2020-2021,1st,,1,2020,28000,0,26000,2000,28000,HistPolSoc,HistPolSoc,high,0,0,University of California - Berkeley_HistPolSoc,27722.772277227723,0.0,1
80,University of Texas - Dallas (UTD),Mechanical Engineering,1.04,2020-2021,1st,You have to pay health insurance (1158 per semester) or you need to take premium tax credit for a CAA approved health insurance.  Costly city. An international student may lose their possibility to apply for immigration due to taking the tax credit.,1,2020,22400,22400,0,0,22400,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering,21538.46153846154,0.0,0
81,Virginia Tech,Civil and Environmental Engineering,1.23,2020-2021,1st,,1,2020,26000,26000,0,0,26000,Engineering,Engineering,low,0,0,Virginia Tech_Engineering,21138.211382113823,0.0,0
82,Northwestern University (NU),Bioengineering,1.38,2020-2021,1st,,1,2020,33500,34000,0,0,34000,Engineering,Engineering,low,500,500,Northwestern University NU_Engineering,24275.36231884058,362.3188405797102,0
83,University of Southern California (USC),Computer Science,1.31,2019-2020,5th,,5,2019,34000,34000,0,0,34000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science,25954.198473282442,0.0,0
84,Princeton University,Sociology,1.4,2020-2021,1st,"Additional $3,000 in August for years 1 and 2",1,2020,35500,35500,0,0,35500,HistPolSoc,HistPolSoc,low,0,0,Princeton University_HistPolSoc,25357.14285714286,0.0,1
85,University of Texas - Austin (UT),Biomedical Engineering,1.01,2020-2021,5th,,5,2020,23000,23000,0,0,23000,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering,22772.27722772277,0.0,0
86,University of Michigan - Ann Arbor (UM),Biostatistics,1.06,2020-2021,1st,Full insurance,1,2020,24498,0,24498,0,24498,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Michigan - Ann Arbor UM_MathematicsAndComputer Science,23111.32075471698,0.0,0
87,University of California - San Francisco (UCSF),Epidemiology,1.38,2020-2021,1st,Funding tied to 15 hours/week work requirement,1,2020,41200,41200,0,0,41200,Medical,Medical,low,0,0,University of California - San Francisco UCSF_Medical,29855.07246376812,0.0,0
88,University of Texas - Austin (UT),Mechanical Engineering,1.07,2020-2021,1st,,1,2020,24500,25000,0,0,25000,Engineering,Engineering,low,500,500,University of Texas - Austin UT_Engineering,22897.196261682242,467.2897196261682,0
89,University of Texas - Austin (UT),Psychology,1.31,2020-2021,1st,,1,2020,30000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc,22900.763358778626,0.0,1
90,University of Southern California (USC),Sociology,1.18,2020-2021,1st,,1,2020,30500,30500,0,0,30500,HistPolSoc,HistPolSoc,low,0,0,University of Southern California USC_HistPolSoc,25847.457627118645,0.0,1
91,Vanderbilt University,Sociology,1.13,2020-2021,1st,,1,2020,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,Vanderbilt University_HistPolSoc,23008.849557522128,0.0,1
92,Pennsylvania State University (Penn State),Sociology,1.45,2020-2021,1st,,1,2020,32500,0,30000,2500,32500,HistPolSoc,HistPolSoc,high,0,0,Pennsylvania State University Penn State_HistPolSoc,22413.793103448275,0.0,1
93,CUNY Graduate School and University Center,Sociology,0.89,2020-2021,1st,,1,2020,26612,26612,0,0,26612,HistPolSoc,HistPolSoc,low,0,0,CUNY Graduate School and University Center_HistPolSoc,29901.123595505618,0.0,1
94,University of Kentucky (UK),statistics,1.14,2018-2019,1st,,1,2018,23200,0,20000,3500,23500,MathematicsAndComputer Science,MathematicsAndComputer Science,high,300,300,University of Kentucky UK_MathematicsAndComputer Science,20350.877192982458,263.15789473684214,0
95,University of California - San Francisco (UCSF),Biomedical Sciences,1.34,2020-2021,5th,,5,2020,40000,40000,0,0,40000,Medical,Medical,low,0,0,University of California - San Francisco UCSF_Medical,29850.746268656716,0.0,0
96,University of North Carolina - Chapel Hill (UNC),History,0.71,2020-2021,1st,"First three summers $3,000 each, fourth and fifth summers $2,000 each. Tuition, student fees, and student health insurance paid for five years (10 long semesters.) Research stipend of $2,000 upon reaching candidacy.",1,2020,15700,0,15700,0,15700,HistPolSoc,HistPolSoc,high,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc,22112.67605633803,0.0,1
97,University of Washington (UW),Political Science,0.87,2020-2021,1st,This is my first offer for a program I've been admitted to and is the standard amount. I intend to negotiate as I have a competing offer. ,1,2020,20184,0,21492,0,21492,HistPolSoc,HistPolSoc,high,1308,1308,University of Washington UW_HistPolSoc,23200.0,1503.448275862069,1
98,California Institute of Technology (Caltech),Electrical Engineering,1.45,2020-2021,1st,,1,2020,37500,37500,0,0,37500,Engineering,Engineering,low,0,0,California Institute of Technology Caltech_Engineering,25862.068965517243,0.0,0
99,Rice University,Chemical and Biomolecular Engineering,1.38,2020-2021,1st,,1,2020,30200,31000,0,0,31000,Engineering,Engineering,low,800,800,Rice University_Engineering,21884.057971014496,579.7101449275362,0
100,Emory University,Clinical Psychology,1.33,2020-2021,1st,,1,2020,31000,31000,0,0,31000,Medical,Medical,low,0,0,Emory University_Medical,23308.27067669173,0.0,0
101,Stony Brook University - SUNY,Computer Science,1.07,2020-2021,1st,,1,2020,30000,0,20000,10000,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,Stony Brook University - SUNY_MathematicsAndComputer Science,28037.383177570093,0.0,0
102,Emory University,Epidemiology,1.33,2020-2021,1st,,1,2020,31087,31775,0,0,31775,Medical,Medical,low,688,688,Emory University_Medical,23373.684210526313,517.2932330827067,0
103,Clemson University (CU),Electrical and Computer Engineering,0.96,2020-2021,1st,,1,2020,20000,0,20000,0,20000,Engineering,Engineering,high,0,0,Clemson University CU_Engineering,20833.333333333336,0.0,0
104,University of Texas - Austin (UT),Microbiology,1.36,2019-2020,2nd,,2,2019,31000,31000,0,0,31000,Biology,Biology,low,0,0,University of Texas - Austin UT_Biology,22794.11764705882,0.0,0
105,University of Chicago (UC),economics,1.73,2020-2021,1st,,1,2020,42000,42000,0,0,42000,BusinessAndManagement,BusinessAndManagement,low,0,0,University of Chicago UC_BusinessAndManagement,24277.456647398845,0.0,0
106,Yale University (YU),economics,1.7,2020-2021,1st,,1,2020,42000,42000,0,0,42000,BusinessAndManagement,BusinessAndManagement,low,0,0,Yale University YU_BusinessAndManagement,24705.88235294118,0.0,0
107,University of Illinois - Urbana- Champaign (UIUC),Statistics,0.94,2020-2021,1st,,1,2020,20589,0,20589,0,20589,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of Illinois - Urbana- Champaign UIUC_MathematicsAndComputer Science,21903.191489361703,0.0,0
108,University of Texas - Austin (UT),Chemical Engineering,1.27,2020-2021,1st,,1,2020,29000,30000,0,0,30000,Engineering,Engineering,low,1000,1000,University of Texas - Austin UT_Engineering,22834.645669291338,787.4015748031496,0
109,Emory University,History,1.36,2020-2021,1st,,1,2020,31775,31775,0,0,31775,HistPolSoc,HistPolSoc,low,0,0,Emory University_HistPolSoc,23363.970588235294,0.0,1
110,University of Illinois - Urbana- Champaign (UIUC),Materials Science and Engineering,1.38,2020-2021,1st,,1,2020,30360,30360,0,0,30360,Engineering,Engineering,low,0,0,University of Illinois - Urbana- Champaign UIUC_Engineering,22000.0,0.0,0
111,University of Southern California (USC),Communication,1.31,2020-2021,1st,,1,2020,34000,34000,0,0,34000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Southern California USC_LinguisticsAndCommunication,25954.198473282442,0.0,1
112,University of North Carolina - Chapel Hill (UNC),Sociology,0.9,2019-2020,1st,"This is the standard guaranteed departmental funding package for 9 months; summer is not guaranteed by default, which is quite standard. Entails TAing for 10 hours/week both terms. Insurance, full tuition, and all fees included (no extra deductions).",1,2019,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc,22222.222222222223,0.0,1
